Date,FTR,HTP,ATP,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,HM1_D,HM1_L,HM1_M,HM1_W,HM2_D,HM2_L,HM2_M,HM2_W,HM3_D,HM3_L,HM3_M,HM3_W,AM1_D,AM1_L,AM1_M,AM1_W,AM2_D,AM2_L,AM2_M,AM2_W,AM3_D,AM3_L,AM3_M,AM3_W
2010-03-27,0,0.03329864724245577,0.06867845993756504,9,10,0,0,0,0,0,0,0,0,-0.018730489073881376,0.04786680541103018,-0.03537981269510926,-0.0010405827263267418,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
2010-03-27,0,0.045785639958376693,0.06659729448491154,7,15,0,0,0,0,1,1,0,0,-0.003121748178980229,0.03954214360041623,-0.02081165452653486,-0.008324661810613941,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
2010-03-27,0,0.0302734375,0.046875,7,10,0,0,0,0,0,0,0,0,-0.021484375,0.0078125,-0.0166015625,-0.0029296875,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False
2010-03-27,1,0.06763787721123829,0.053069719042663895,7,9,0,0,0,0,0,0,0,0,0.0437044745057232,0.01768990634755463,0.014568158168574399,-0.0020811654526534835,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True
2010-03-27,0,0.0263671875,0.0380859375,0,5,0,0,1,1,0,0,0,0,-0.015625,-0.0048828125,-0.01171875,-0.0048828125,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False
2010-03-27,1,0.056640625,0.021484375,15,6,1,1,0,0,0,0,0,0,0.02734375,-0.029296875,0.03515625,0.0087890625,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False
2010-03-27,1,0.0263671875,0.037109375,3,4,0,0,1,0,0,0,0,0,-0.0322265625,-0.0029296875,-0.0107421875,-0.0009765625,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
2010-03-28,0,0.0234375,0.037109375,1,7,0,0,0,0,0,0,0,0,-0.0322265625,-0.015625,-0.013671875,-0.005859375,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
2010-03-28,1,0.0498046875,0.0341796875,7,9,0,0,0,0,0,0,0,0,0.017578125,-0.005859375,0.015625,-0.001953125,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False
2010-03-29,1,0.0546875,0.0302734375,10,6,0,0,0,0,0,0,0,0,0.0185546875,-0.029296875,0.0244140625,0.00390625,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False
